POA_CODE_2016,Equal Weighted Score,Disabled Score,Indigenous Score,Senior's Score,Youth Score,Number of people under Median income,Number of Households with more than 3 people,Number of households with 1 or less cars,Number of people aged 14 and old with a disability,Number of people aged 55+,Number Of Immigrants arrived since 2011,Number of 15-24 Year Olds,Number of people who travel to work ONLY by Taxi,Total Indigenous Population,Single Parent Families with Children under 15,Total Population
2097,0.18934583,0.11504282,0.12950178,0.20719081,0.30564789,0.13581042,0.73036738,0.23060289,0.09427523,0.33931046,0.06611286,0.12581089,0.07507116,0.00614028,0.14923984,0.14545352
2099,0.23937549,0.14350657,0.24197153,0.22572301,0.34630086,0.18797746,0.68621947,0.39781041,0.09903569,0.31606769,0.14037570,0.11319608,0.13537833,0.00809364,0.16428531,0.37400461
2100,0.22056941,0.13643537,0.15238592,0.27054555,0.32291081,0.15264693,0.76161171,0.25504403,0.12022381,0.33329712,0.07574961,0.12234057,0.20779398,0.00597856,0.11448846,0.19587416
2101,0.21769151,0.15740526,0.16528557,0.24360790,0.30446731,0.15502707,0.65015468,0.31537560,0.15978345,0.40525137,0.05964596,0.09731191,0.08196442,0.00906792,0.14992852,0.18167169
2102,0.18437079,0.13571524,0.10899863,0.18616868,0.30660062,0.14184775,0.75314958,0.21514551,0.12958272,0.32995102,0.05621473,0.11625964,0.04238635,0.00875713,0.17488577,0.07024414
2103,0.21052512,0.15051546,0.13242327,0.25770016,0.30146159,0.15313964,0.67011481,0.26957100,0.14789128,0.45580519,0.04931271,0.11302093,0.05959513,0.00704990,0.12499361,0.09993255
2104,0.25331087,0.19492403,0.14289593,0.37820640,0.29721712,0.17189227,0.55633633,0.36346462,0.21795580,0.66858406,0.03545120,0.09717526,0.08782873,0.00234137,0.06039679,0.03388544
2105,0.18079811,0.08184524,0.10285579,0.26186563,0.27662578,0.11823593,0.61607143,0.27188940,0.04545455,0.52373126,0.05059524,0.10030637,0.00000000,0.00401315,0.10056326,0.01728467
2106,0.18967890,0.10855016,0.12042268,0.22256636,0.30717641,0.14452747,0.71264515,0.24561355,0.07257284,0.39955482,0.04710963,0.12591948,0.04557789,0.00444247,0.17512535,0.08710723
2107,0.19443882,0.11417786,0.12189975,0.24706842,0.29460926,0.14798214,0.71791704,0.19593657,0.08037358,0.44356353,0.04099348,0.11660128,0.05057332,0.00628359,0.12967049,0.13739671
2108,0.20564820,0.12582188,0.11335077,0.33562984,0.24779031,0.14763897,0.46656455,0.28378613,0.10400478,0.67125969,0.04931261,0.09317160,0.00000000,0.00633276,0.13721948,0.01564520
2109,0.19251701,0.12601264,0.17145140,0.12672626,0.34587773,0.16161698,0.28228289,0.48637970,0.09040830,0.15042594,0.69923310,0.45323136,0.10302657,0.00892620,0.05313586,0.02888273
2110,0.20973608,0.15117712,0.11210391,0.29217993,0.28348335,0.11527120,0.63793145,0.22951474,0.18708305,0.42041517,0.04395888,0.15121599,0.16394470,0.00676062,0.12154685,0.09686909
2111,0.23323262,0.15233833,0.17754645,0.26813530,0.33491041,0.17665834,0.66099865,0.39280438,0.12801832,0.35978434,0.07060089,0.10918026,0.17648626,0.00573402,0.13956804,0.13498904
2112,0.24653789,0.18144634,0.23149312,0.20569624,0.36751587,0.22801504,0.72316944,0.38631320,0.13487763,0.31783897,0.18265250,0.13256580,0.09355351,0.00390223,0.14009179,0.30774203
