POA_CODE_2016,Total Population,Single Parent Families with Children under 15,Total Indigenous Population,Only method to work is Taxi,Number of 15-24 Year Olds,Total Number Of Immigrants since 2011,55 and Older who need assistance (disabled),Number of households with 1 or less cars,Number of Households with more than 3 people
2365,3721,66,207,0,370,46,132,452,478
2369,927,32,215,0,113,0,66,117,105
2370,7687,200,486,8,777,38,343,1339,858
2371,1155,17,73,0,85,13,58,216,108
2372,4742,105,202,0,388,25,172,813,470
2379,313,3,16,0,39,3,6,29,50
2380,10392,270,1341,16,1140,104,404,1501,1452
2381,1193,36,152,0,129,4,42,128,160
2382,1319,35,130,0,174,3,43,177,165
2386,360,3,28,0,27,0,6,28,49
2387,201,0,15,0,25,0,0,9,30
2388,2674,72,432,0,265,6,61,352,342
2390,8757,199,966,3,960,64,276,1092,1161
2395,671,11,32,0,74,0,48,117,69
2396,857,32,135,0,72,0,48,149,114
2397,377,11,26,0,31,0,9,33,51
2398,236,0,7,0,28,0,3,14,30
2399,597,10,55,0,52,0,17,53,79
2400,10084,335,2050,10,1172,169,299,1429,1324
2401,321,8,23,0,24,0,11,30,41
2402,1792,49,131,0,192,9,104,270,216
2403,718,16,53,0,69,0,26,69,94
2404,1838,40,90,0,141,6,117,324,179
2405,514,6,31,0,48,3,0,40,62
2406,823,17,157,0,64,13,23,109,79
2408,376,0,13,0,50,0,7,27,41
2409,1030,63,556,0,165,0,28,160,143
2410,278,3,7,0,28,0,9,44,31
2411,120,0,8,0,13,0,3,12,11
2415,390,9,13,0,36,4,12,31,66
2420,4023,95,219,0,404,0,204,601,517
2421,1828,25,64,3,230,0,43,114,276
2422,5338,114,386,0,466,27,237,894,602
2423,2964,80,162,0,257,10,182,441,340
2424,425,14,17,0,33,0,16,55,49
2425,1780,38,100,0,177,3,97,185,243
2426,720,17,30,0,67,0,26,102,80
2427,3114,49,110,0,198,7,228,705,271
2428,24009,606,1228,13,1927,161,1630,5422,2414
2429,9717,227,484,3,977,41,453,1412,1227
2430,34018,1022,2630,14,3468,217,1811,5920,4204
2431,5133,125,267,0,374,45,378,1073,516
2439,2941,65,74,0,268,11,118,336,375
2440,21819,780,2956,4,2454,151,1218,3140,2752
2441,4345,82,222,0,433,22,176,526,565
2443,8894,172,327,5,581,57,658,1960,808
2444,46284,1142,1813,36,4530,653,2425,9063,5634
2445,6466,122,198,0,620,25,249,878,861
2446,13330,343,751,8,1472,53,583,1646,1825
2447,7178,176,429,5,684,26,349,1096,881
2448,9000,280,707,3,765,61,556,2093,971
2449,2188,97,290,0,218,14,118,398,266
2450,43894,1176,2079,22,4959,1329,1664,6918,5819
2452,15120,488,930,9,1695,166,690,2834,2054
2453,2768,60,100,0,250,22,109,471,304
2454,7570,227,242,4,674,85,296,1147,1039
2455,3000,87,120,0,251,3,159,632,321
2456,14749,368,721,0,1464,467,576,2131,2023
2460,29216,870,2172,11,3214,174,1577,4649,3687
2462,2443,49,106,0,233,6,132,382,265
2463,7545,159,443,3,700,50,514,1158,912
2464,6738,145,285,0,485,117,430,1583,659
2465,291,6,17,0,34,0,14,45,37
2466,1730,46,43,0,90,3,163,436,128
2469,4012,77,282,0,358,35,224,684,406
2470,15225,455,1192,7,1846,70,765,2446,2022
2471,2524,64,209,0,271,14,124,273,337
2472,1857,53,70,0,182,6,78,236,252
2473,3088,70,141,0,278,10,178,687,327
2474,6332,166,208,0,615,56,282,1083,734
2475,383,9,33,0,27,0,22,63,36
2476,778,24,87,0,82,3,28,138,85
2477,12203,291,448,0,1219,100,515,1737,1655
2478,28310,641,916,6,2610,345,1223,5105,3565
2479,4730,112,55,0,393,108,120,483,700
2480,44599,1329,2171,24,5355,440,1662,7225,5875
2481,11769,232,166,10,1077,500,298,1618,1510
2482,6280,194,98,4,518,98,233,944,826
2483,10609,336,303,4,1038,159,368,1647,1443
2484,18872,521,551,16,1862,163,844,2625,2531
2485,14373,354,558,5,1268,363,1039,3650,1471
2486,31594,696,1444,14,3319,404,1925,5605,4190
2487,13436,270,593,0,1281,209,550,2207,1747
2488,3261,96,134,3,337,49,83,473,476
2489,7353,189,258,3,577,112,367,1082,1071
2490,666,11,33,0,72,8,10,62,96
2500,40510,675,607,46,8271,4730,1512,8646,5255
2502,12438,357,470,7,1446,387,893,2350,1802
2505,5014,137,188,0,577,85,363,978,722
2506,7605,245,411,13,978,105,391,1253,1163
2508,8975,121,217,3,1164,119,299,785,1618
2515,11112,150,176,7,1172,189,269,1442,1801
2516,6105,98,133,0,727,116,133,726,1037
2517,13731,284,349,3,1517,156,663,2109,2134
2518,19067,461,677,11,2342,376,1082,3731,2770
2519,16929,314,299,8,2304,821,724,2922,2606
2522,300,0,8,0,269,70,0,0,0
2525,11564,200,179,8,1388,317,511,1379,1876
2526,15630,271,331,3,2125,213,648,1799,2563
2527,21383,602,864,7,2976,124,918,2225,3592
2528,23774,797,1122,9,2927,238,1351,4434,3319
2529,26025,564,715,5,3346,355,898,2806,4389
2530,32019,849,1231,15,3982,290,1401,4231,5182
2533,15627,232,260,0,1699,201,495,2051,2193
2534,5709,78,129,0,608,46,213,645,778
2535,7338,93,154,3,530,44,439,1275,799
2536,17716,444,1097,9,1523,140,1045,3194,1889
2537,11812,257,512,5,1019,57,569,2098,1274
2538,2397,33,43,6,166,3,203,279,267
2539,17979,409,591,7,1429,120,843,3329,2025
2540,45121,993,2653,18,4745,331,2349,6828,5515
2541,25641,855,2230,19,3008,341,1504,4788,3324
2545,1044,22,110,0,88,3,37,139,118
2546,9121,172,434,0,584,43,582,1843,809
2548,7734,146,145,3,654,82,379,1494,767
2549,3785,90,72,0,314,11,152,538,461
2550,15858,321,520,0,1562,90,577,2283,1920
2551,3501,91,244,3,309,21,195,665,377
2555,225,9,3,0,19,0,6,18,25
2556,2507,29,39,0,404,15,69,123,419
2557,8952,124,175,0,1204,224,185,444,1498
2558,11114,308,417,4,1724,225,331,1070,2063
2559,3069,222,226,0,587,48,78,461,428
2560,76521,2466,3446,39,10818,2661,2502,10734,12476
2563,307,7,9,0,38,0,13,20,42
2564,13924,449,569,9,1913,797,503,2356,2377
2565,19987,440,408,19,2675,1286,521,2873,3411
2566,26327,664,865,18,3717,1225,877,3021,4747
2567,38500,835,1051,15,5518,639,667,2671,7348
2568,1150,5,13,3,148,3,147,111,166
2569,1362,28,40,0,157,0,31,76,220
2570,40104,710,979,7,4797,611,1176,3129,6874
2571,11850,187,334,0,1510,76,216,763,2065
2572,4477,77,148,0,540,14,273,401,702
2573,5067,143,227,0,663,50,150,592,823
2574,5741,115,202,0,689,37,171,478,922
2575,15476,284,433,3,1846,182,480,1829,2237
2576,13431,223,130,9,1158,168,716,2163,1612
2577,15414,299,337,5,1626,285,528,2034,1957
2578,2689,52,34,0,195,14,157,479,282
2579,4029,74,107,0,350,20,113,446,524
2580,29224,720,1152,35,3365,441,1297,4365,3803
2581,2095,26,36,0,201,7,55,184,301
2582,12442,204,349,3,1323,117,405,1163,1835
2583,4382,70,110,3,439,16,209,541,516
2584,543,12,12,0,33,0,23,75,71
2585,224,3,9,0,16,0,6,32,25
2586,2619,49,90,0,308,29,120,347,296
2587,2917,48,185,3,253,21,155,442,334
2588,260,8,15,0,18,0,14,24,37
2590,7093,155,396,3,663,74,409,1318,810
2594,11672,342,478,10,1364,79,478,1766,1547
2619,9508,144,153,9,1318,176,107,628,1795
2620,39289,780,1497,34,4805,1390,988,5693,5610
2621,6056,78,128,0,669,59,82,352,992
2622,3922,72,73,0,313,44,122,483,439
2623,610,13,22,0,56,6,10,94,80
2625,389,0,3,0,41,15,0,44,15
2626,500,4,3,0,56,0,12,45,75
2627,4622,63,59,0,657,124,56,439,602
2628,1912,31,24,3,168,9,55,238,250
2629,529,3,10,0,29,0,33,84,35
2630,8691,189,269,9,959,72,284,1452,1025
2631,570,8,8,0,60,0,17,81,63
2632,1834,27,34,0,171,8,69,255,226
2633,379,4,19,0,32,0,22,77,40
2640,36343,855,839,22,4851,664,1315,5780,4914
2641,15070,464,580,14,1936,495,561,3091,1875
2642,4793,83,141,0,494,22,117,391,673
2643,2777,48,53,0,269,31,119,392,339
2644,2403,42,58,0,215,17,116,317,284
2645,402,6,16,0,45,0,24,46,43
2646,6758,144,115,3,714,49,245,1118,789
2647,2161,37,15,0,162,9,106,373,224
2648,2369,44,156,0,212,17,161,358,234
2649,26,0,0,0,0,0,0,6,0
2650,56974,1470,3240,68,7985,1783,1737,8536,8063
2651,2274,71,165,0,436,33,31,225,316
2652,4583,89,215,0,522,20,100,387,624
2653,2537,53,130,0,237,28,90,317,274
2655,1336,18,34,0,126,0,63,135,177
2656,1272,21,64,0,134,0,59,189,159
2658,1433,28,61,0,142,15,84,221,170
2659,893,13,22,0,110,3,22,102,117
2660,1610,44,61,0,184,15,77,217,211
2661,633,0,25,0,302,4,0,14,31
